frame,track,x1,y1,x2,y2,cx,cy,height,score,level
345,2,473.7,44.2,556.8,180.2,515.3,112.2,135.9,0.000,GREEN
346,1,447.8,163.5,543.2,346.6,495.5,255.0,183.2,0.850,RED
346,2,472.3,44.0,555.9,179.3,514.1,111.6,135.3,0.000,GREEN
347,2,472.3,43.9,556.0,179.0,514.1,111.4,135.0,0.000,GREEN
347,1,447.8,163.6,543.2,346.3,495.5,255.0,182.7,0.850,RED
348,1,447.4,164.0,542.5,348.1,495.0,256.0,184.2,0.850,RED
348,2,470.4,43.0,554.5,210.2,512.5,126.6,167.2,0.000,GREEN
349,1,447.9,164.3,542.2,345.2,495.1,254.7,180.9,0.850,RED
349,2,469.3,42.7,553.8,212.5,511.6,127.6,169.8,0.000,GREEN
350,1,447.2,164.1,542.4,344.3,494.8,254.2,180.2,0.850,RED
350,2,469.0,42.7,550.8,195.4,509.9,119.0,152.6,0.000,GREEN
351,1,447.5,164.3,542.3,343.7,494.9,254.0,179.4,0.850,RED
351,2,468.1,42.0,548.1,197.1,508.1,119.5,155.1,0.000,GREEN
352,2,468.1,42.0,548.2,196.6,508.1,119.3,154.6,0.000,GREEN
352,1,447.8,164.5,542.5,343.4,495.1,254.0,178.9,0.850,RED
353,1,447.7,163.0,543.1,339.0,495.4,251.0,176.0,0.850,RED
353,2,467.2,42.2,545.8,189.9,506.5,116.0,147.7,0.000,GREEN
354,1,447.9,163.5,543.3,341.5,495.6,252.5,177.9,0.850,RED
354,2,466.8,41.7,544.8,178.8,505.8,110.3,137.1,0.000,GREEN
355,1,447.6,165.4,543.6,340.2,495.6,252.8,174.8,0.850,RED
355,2,466.7,41.6,544.4,175.7,505.6,108.6,134.1,0.000,GREEN
356,1,447.7,167.0,544.2,340.5,495.9,253.7,173.5,0.850,RED
356,2,466.1,41.2,542.5,190.2,504.3,115.7,149.0,0.000,GREEN
357,1,447.8,167.6,544.3,340.4,496.0,254.0,172.8,0.850,RED
357,2,466.1,41.2,542.5,192.1,504.3,116.6,150.9,0.000,GREEN
358,1,447.9,169.0,544.2,341.7,496.0,255.4,172.7,0.850,RED
358,2,465.1,41.1,540.8,193.2,502.9,117.1,152.0,0.000,GREEN
359,2,464.6,41.0,540.5,198.3,502.6,119.6,157.2,0.000,GREEN
359,1,447.3,175.8,543.3,339.0,495.3,257.4,163.2,0.850,RED
360,2,464.8,41.0,540.2,196.2,502.5,118.6,155.2,0.000,GREEN
360,1,447.0,169.0,543.4,339.5,495.2,254.2,170.5,0.850,RED
361,1,447.2,173.4,545.0,337.8,496.1,255.6,164.4,1.000,RED
361,2,464.6,41.7,540.9,187.7,502.7,114.7,146.0,0.000,GREEN
362,2,464.6,41.7,540.9,187.2,502.7,114.5,145.5,0.000,GREEN
362,1,447.2,175.0,544.9,337.1,496.1,256.1,162.0,1.000,RED
363,2,464.9,42.5,541.2,179.2,503.0,110.9,136.7,0.000,GREEN
363,1,446.4,196.7,541.3,339.4,493.9,268.1,142.7,1.000,RED
364,1,446.7,197.2,538.8,339.6,492.8,268.4,142.3,1.000,RED
364,2,464.6,43.1,542.0,194.9,503.3,119.0,151.8,0.000,GREEN
365,1,446.7,199.6,538.3,338.9,492.5,269.2,139.3,1.000,RED
365,2,461.2,43.6,543.1,193.6,502.2,118.6,150.1,0.000,GREEN
366,2,461.0,43.5,543.2,196.0,502.1,119.7,152.5,0.000,GREEN
